100007	47
100296	29
100340	74
100458	44
100502	98
100791	58
100953	-19
101187	19
101231	-5
101349	45
10153	-11
101682	-30
101844	-20
102078	-43
102122	16
102573	20
102735	9
103013	-39
10315	-7
103464	14
103626	58
104193	-60
104355	26
104517	-57
104850	-22
104968	-48
105084	-34
105246	61
105408	-43
105697	-72
105741	14
105859	-21
105903	33
106137	41
106470	22
106588	-73
106632	-23
107028	-8
107361	25
107479	50
107523	-34
10766	-81
107974	73
108090	67
10810	64
108252	-58
108414	-5
108865	52
109099	44
109143	51
10928	14
109305	46
109594	28
109756	-44
1098	-82
109800	-44
109918	13
110097	-53
110141	-9
110259	82
110303	-1
11044	54
110592	-3
110754	18
110916	25
111032	62
111483	16
111645	28
111807	32
11206	22
112374	96
112536	-62
112987	-17
113265	34
113427	-3
113760	50
113878	-3
113922	-7
114156	34
1142	-2
114200	-37
114318	1
114651	4
114769	-22
114813	78
11495	51
115047	-2
115209	24
115380	60
115498	-58
115542	17
115704	9
115993	-49
116271	-33
116389	-129
116433	-89
11657	-66
116884	36
11701	-49
117162	-5
117324	11
117775	27
117937	-42
118053	32
11819	-21
118215	84
118666	-5
118710	5
118828	28
119106	-8
119395	62
119557	80
119601	-43
119719	27
119890	43
11990	22
120104	49
120393	10
120555	-33
120717	19
121284	28
121446	46
121608	-6
121897	-19
121941	57
122175	-33
122337	23
122670	-17
122788	-21
122832	-42
123066	-28
123110	-22
123228	55
123561	-23
123679	20
123723	-12
12386	26
124001	87
124119	15
124290	28
12430	114
124452	46
124614	-6
125181	-35
125299	-8
125343	39
12548	62
125505	-17
125794	52
125956	-37
126072	-50
126234	-29
126685	59
126847	3
127125	-65
127576	-11
127620	-11
127738	-14
128016	51
128467	-91
128511	52
128629	-70
12881	86
128962	-7
129196	26
129240	-1
129358	23
129402	-5
129691	27
129853	15
12999	-1
130194	-38
130356	-45
1304	-3
130400	-32
130518	29
130851	-26
130969	7
131085	95
131247	52
131409	-35
131580	-38
131698	36
131742	83
131904	-63
132020	56
132138	-5
132471	21
132589	6
132633	54
13277	-38
133029	32
13321	-85
133362	-63
133524	-42
133975	16
134091	-73
134253	50
13439	-2
134415	93
134866	4
134910	62
135144	0
135306	-7
135595	-2
135757	-21
135801	1
135919	-8
136035	33
136486	-40
136530	28
136648	62
136981	-30
137377	-57
137421	29
137539	45
13772	-33
137872	-19
138150	68
138268	-22
138312	13
138763	18
138925	18
139041	3
139159	43
139203	82
13934	1
139492	18
139654	80
139816	-10
140157	112
140201	55
140319	18
140490	-11
14050	100
140652	-27
140814	-51
141048	-28
141381	45
141499	4
141543	-13
14168	-78
141705	17
141994	14
14212	38
142272	24
142434	14
142885	35
143163	-65
143325	-20
143776	-32
143820	49
143938	-1
144054	22
144216	21
144667	28
144711	16
144829	-13
145107	52
145396	-69
145440	37
145558	-60
145602	17
145891	29
146287	11
146331	-1
146449	37
14663	-45
146782	-34
146944	-80
147060	46
147178	106
147222	68
147673	-11
147835	-51
148069	-5
148113	-37
14825	-36
148564	21
148726	-7
149004	17
149293	64
149455	65
149617	-33
149950	50
150002	2
150291	-54
150453	16
15059	-37
150615	-48
15103	-84
151182	48
151344	-39
151506	43
151795	47
151957	81
152073	-4
152235	-50
152686	2
152730	-84
152848	88
153126	36
153577	-3
153621	-23
153739	15
15392	-79
154017	68
154350	9
154468	-22
154512	-16
154963	4
155197	9
155241	-16
155359	4
155403	-13
15554	-67
155692	3
155854	-10
156088	-27
156132	-19
156583	14
156745	-72
156907	-31
157023	-5
15716	67
157474	-46
157636	-6
158365	35
158527	-37
158860	-30
158978	-10
159094	3
159256	-44
1593	107
159300	-25
159418	-11
159751	-17
159869	-58
159913	-6
160092	38
160254	35
160416	-15
160867	-5
160911	-15
161145	3
161307	16
161596	14
161640	4
161758	-3
161802	-30
162036	33
162487	-87
162531	-50
162649	22
16283	-23
162982	-33
163260	27
163378	-19
163422	-29
163873	40
164151	16
164269	-78
164313	78
16445	-14
164764	72
164926	37
165042	-129
165204	23
165493	-50
165655	17
165817	-27
16607	-69
166384	-9
166546	-2
166708	-11
166997	-3
167275	20
167437	-24
167770	11
167888	31
167932	-25
168166	5
168210	-25
168328	-47
168661	51
168779	17
168823	-13
16896	24
169057	40
169101	-60
169219	-6
169390	59
16940	2
169552	-39
169714	-54
170055	53
170217	34
170550	7
170668	-17
170712	37
171108	-2
171397	-38
171441	7
171559	-29
171603	8
17174	-91
171892	2
172170	-32
172288	-38
172332	-64
172783	19
172945	-95
173061	38
173179	2
173223	0
17336	28
173674	44
173836	-25
174114	72
174565	5
174727	1
175005	5
175294	17
175456	46
1755	-30
175500	46
175618	54
175951	-30
176185	79
176347	63
176509	-32
176680	-18
176798	30
176842	-38
177076	13
177120	4
177238	5
177571	8
177689	-32
177733	-54
17787	-26
178011	19
178129	-18
17831	-16
178462	14
178624	44
179191	-8
179353	-76
17949	-19
179515	0
179966	65
180018	25
180351	6
180469	-29
180513	-25
18065	-20
180964	3
181080	67
181198	-17
181242	13
181404	47
181693	47
181855	-42
182089	15
182133	120
18227	-25
182584	-58
182746	-56
182908	47
183024	-27
183475	11
183637	-47
183970	8
184366	8
184410	-37
184528	44
184861	68
184979	-52
185095	-19
185257	-54
185301	10
185419	70
185590	39
18560	-77
185752	-4
185914	-12
186030	96
186148	-86
186481	37
186599	29
186643	19
18678	2
186805	32
187039	36
18722	-39
187372	55
187534	19
187985	7
188263	-30
188425	51
188876	-33
188920	-14
189154	-18
189316	-11
189767	90
189811	42
189929	-90
19000	-7
190152	-55
190314	21
190765	47
190927	-52
191043	34
19118	-72
